company;date;date_month;date_year;code2;setor;subsetor;name;Ativo Total;Ativo Circulante;Passivo Total;Passivo Circulante;code;freq;shares;net_revenue;net_profit;growth_profit;net_equity;net_revenue_12;net_profit_12m;ativo;cl;ebit;roe;net_margin;eps;bvps;d/e;divida_bruta;disponibilidades;divida_liquida;Estoque;carteira de credito;depositos;receita de servi
HGTX3;31/03/2014;3;2014;HGTX;Cyclic consumption;Clothing and footwear fabrics;CIA HERING;1316593.024;945172.992;1316593.024;278831.008;HGTX3;12;164611;394440.992;64578;-0.36498;966710.976;1694564;313377;1316593.024;3.39000;95129;0.32;0.04;1.9;5.87;0.02000;22900;172414;-149514;316715.008;;;
HGTX3;30/06/2014;6;2014;HGTX;Cyclic consumption;Clothing and footwear fabrics;CIA HERING;1327623.936;943014.016;1327623.936;306296;HGTX3;13;164611;419683.008;74183;0.14874;967486.976;1678460;298720;1327623.936;3.08000;89345.008;0.31;0.04;1.81;5.88;0.02000;22561;196388;-173827;284366.016;;;
HGTX3;30/09/2014;9;2014;HGTX;Cyclic consumption;Clothing and footwear fabrics;CIA HERING;1417094.016;1020817.984;1417094.016;324756.992;HGTX3;14;164611;363556.992;70887;-0.04443;1045336;1680974;311343;1417094.016;3.14000;67239.008;0.3;0.04;1.89;6.35;0.02000;22561;270215.008;-247654.008;343089.984;;;
HGTX3;31/12/2014;12;2014;HGTX;Cyclic consumption;Clothing and footwear fabrics;CIA HERING;1432039.04;1012153.024;1432039.04;313667.008;HGTX3;15;164611;500613.024;109210;0.54062;1076068.056;1678294;318858;1432039.04;3.23000;118959.992;0.3;0.07;1.94;6.54;0.02000;23422;182036;-158614;297008;;;
CIEL3;31/03/2014;3;2014;CIEL;financial;Miscellaneous financial services;CIELO;13245413.38;9040290.816;13245413.38;6237105.152;CIEL3;12;1572231;1817688.96;802678;0.11453;3457282.952;7005395;2835413;13245413.38;1.45000;898734.992;0.82;0.11;1.8;2.2;0.69000;2397630.976;376236.992;2021393.984;0;;;
CIEL3;30/06/2014;6;2014;CIEL;financial;Miscellaneous financial services;CIELO;13460114.43;9210056.704;13460114.43;6418188.8;CIEL3;13;1572231;1840727.04;796790;-0.00734;3487559.88;7241596;3008858;13460114.43;1.43000;851734.048;0.86;0.11;1.91;2.22;0.67000;2344348;431439.008;1912908.992;0;;;
CIEL3;30/09/2014;9;2014;CIEL;financial;Miscellaneous financial services;CIELO;13863947.26;9293735.936;13863947.26;6122419.2;CIEL3;14;1572231;1938461.952;817371;0.02583;3950232.032;7441146;3137034;13863947.26;1.52000;850554.016;0.79;0.11;2;2.51;0.64000;2508708.944;462825.984;2045882.96;0;;;
CIEL3;31/12/2014;12;2014;CIEL;financial;Miscellaneous financial services;CIELO;18679674.88;13681732.61;18679674.88;10267543.55;CIEL3;15;1572231;2128700.288;803008;-0.01757;4309110.128;7725578;3219847;18679674.88;1.33000;810479.808;0.75;0.1;2.05;2.74;1.70000;7339741.952;3998721.024;3341020.928;0;;;
CPLE6;31/03/2014;3;2014;CPLE;Public utility;Electricity;COPEL;24434204.67;5591745.024;24434204.67;3803814.912;CPLE6;12;273655;3051072;536567;2.08262;13179516.35;9850876;1217255;24434204.67;1.47000;750914.032;0.09;0.05;4.45;48.16;0.34000;4533417.024;1604725.968;2928691.056;132997;;;
CPLE6;30/06/2014;6;2014;CPLE;Public utility;Electricity;COPEL;25065977.86;5704522.752;25065977.86;3373761.024;CPLE6;13;273655;3118173.952;212488;-0.60399;13161134.18;10867918;1189154;25065977.86;1.69000;393473;0.09;0.02;4.35;48.09;0.43000;5711289.088;2514219.008;3197070.08;140515.008;;;
CPLE6;30/09/2014;9;2014;CPLE;Public utility;Electricity;COPEL;25494683.65;5409290.752;25494683.65;3837284.096;CPLE6;14;273655;3286884.096;219637;0.03364;13380580.1;11900172;1142754;25494683.65;1.41000;452749.976;0.09;0.02;4.18;48.9;0.42000;5651981.696;2357318.976;3294662.72;142060.992;;;
CPLE6;31/12/2014;12;2014;CPLE;Public utility;Electricity;COPEL;25618141.18;5218176;25618141.18;4055393.024;CPLE6;15;273655;4462387.2;237258;0.08023;13330689.15;13918517;1205950;25618141.18;1.29000;483200.016;0.09;0.02;4.41;48.71;0.45000;6054397.952;1212743.008;4841654.944;150622;;;
